tick,merged_mrx,merged_mry,merged_lat,merged_lng
1561946508,['773639.089156755'],['6614433.641148993'],['50.96120181818182'],['6.949718181818182']
1561946509,['773640.7083493484'],['6614422.233365972'],['50.96113727272727'],['6.949732727272727']
1561946510,['773642.3275419418'],['6614410.825582951'],['50.96107272727273'],['6.949747272727272']
1561946511,['773643.9467345352'],['6614399.41779993'],['50.96100818181818'],['6.949761818181818']
1561946512,['773645.5659271285'],['6614388.010016909'],['50.96094363636364'],['6.949776363636364']
1561946513,['773647.1851197218'],['6614376.602233888'],['50.96087909090909'],['6.949790909090909']
1561946514,['773648.8043123152'],['6614365.194450866'],['50.96081454545455'],['6.949805454545454']
1561946515,['773650.4235049086'],['6614353.786667845'],['50.96075'],['6.94982']
1561946516,['773651.1319016682'],['6614354.59002714'],['50.96075454545454'],['6.9498263636363635']
1561946517,['773651.8402984277'],['6614355.393386436'],['50.960759090909086'],['6.949832727272727']
1561946518,['773652.5486951873'],['6614356.196745732'],['50.96076363636364'],['6.949839090909091']
1561946519,['773653.2570919469'],['6614357.000105027'],['50.96076818181818'],['6.949845454545454']
1561946520,['773653.9654887065'],['6614357.803464322'],['50.960772727272726'],['6.949851818181818']
1561946521,['773654.6738854662'],['6614358.606823618'],['50.96077727272727'],['6.949858181818182']
1561946522,['773655.3822822258'],['6614359.410182913'],['50.960781818181815'],['6.949864545454545']
1561946523,['773656.0906789853'],['6614360.213542208'],['50.96078636363636'],['6.949870909090909']
1561946524,['773656.7990757449'],['6614361.016901504'],['50.96079090909091'],['6.949877272727273']
1561946525,['773657.5074725045'],['6614361.8202607995'],['50.960795454545455'],['6.949883636363636']
1561946526,['773658.2158692641'],['6614362.623620095'],['50.9608'],['6.94989']
1561946527,['773658.9242660237'],['6614363.105636087'],['50.96080272727273'],['6.9498963636363635']
1561946528,['773659.6326627833'],['6614363.58765208'],['50.96080545454545'],['6.949902727272727']
1561946529,['773660.3410595428'],['6614364.069668072'],['50.96080818181818'],['6.949909090909091']
1561946530,['773661.0494563024'],['6614364.551684065'],['50.96081090909091'],['6.9499154545454545']
1561946531,['773661.757853062'],['6614365.033700057'],['50.96081363636364'],['6.949921818181818']
1561946532,['773662.4662498217'],['6614365.51571605'],['50.96081636363636'],['6.949928181818182']
1561946533,['773663.1746465813'],['6614365.997732042'],['50.96081909090909'],['6.949934545454545']
1561946534,['773663.8830433409'],['6614366.479748035'],['50.96082181818182'],['6.949940909090909']
1561946535,['773664.5914401005'],['6614366.961764027'],['50.96082454545455'],['6.949947272727273']
1561946536,['773665.29983686'],['6614367.44378002'],['50.96082727272727'],['6.949953636363636']
1561946537,['773666.0082336196'],['6614367.925796012'],['50.96083'],['6.94996']
1561946538,['773666.8178299163'],['6614368.247140179'],['50.960831818181816'],['6.949967272727273']
1561946539,['773667.627426213'],['6614368.568484347'],['50.96083363636364'],['6.949974545454546']
1561946540,['773668.4370225096'],['6614368.889828514'],['50.96083545454545'],['6.9499818181818185']
1561946541,['773669.2466188063'],['6614369.211172682'],['50.960837272727275'],['6.949989090909091']
1561946542,['773670.056215103'],['6614369.532516849'],['50.96083909090909'],['6.949996363636364']
1561946543,['773670.8658113996'],['6614369.853861017'],['50.96084090909091'],['6.950003636363636']
1561946544,['773671.6754076964'],['6614370.175205184'],['50.96084272727273'],['6.950010909090909']
1561946545,['773672.485003993'],['6614370.496549352'],['50.96084454545455'],['6.950018181818182']
1561946546,['773673.2946002897'],['6614370.817893519'],['50.960846363636364'],['6.950025454545455']
1561946547,['773674.1041965864'],['6614371.139237687'],['50.960848181818186'],['6.950032727272728']
1561946548,['773674.913792883'],['6614371.460581854'],['50.96085'],['6.95004']
1561946549,['773691.7129160392'],['6614372.745959909'],['50.960857272727274'],['6.950190909090909']
1561946550,['773708.5120391952'],['6614374.0313379625'],['50.96086454545455'],['6.950341818181818']
1561946551,['773725.3111623513'],['6614375.316716017'],['50.960871818181815'],['6.950492727272728']
1561946552,['773742.1102855074'],['6614376.602094072'],['50.96087909090909'],['6.950643636363637']
1561946553,['773758.9094086634'],['6614377.887472127'],['50.96088636363636'],['6.950794545454546']
1561946554,['773775.7085318195'],['6614379.17285018'],['50.960893636363636'],['6.9509454545454545']
1561946555,['773792.5076549755'],['6614380.458228235'],['50.96090090909091'],['6.951096363636363']
1561946556,['773809.3067781316'],['6614381.74360629'],['50.96090818181818'],['6.951247272727272']
1561946557,['773826.1059012878'],['6614383.028984345'],['50.96091545454545'],['6.951398181818182']
1561946558,['773842.9050244438'],['6614384.314362398'],['50.960922727272724'],['6.951549090909091']
1561946559,['773859.7041475999'],['6614385.599740453'],['50.96093'],['6.9517']
1561946560,['773861.120941119'],['6614385.439068075'],['50.96092909090909'],['6.951712727272727']
1561946561,['773862.5377346382'],['6614385.2783956975'],['50.96092818181818'],['6.951725454545454']
1561946562,['773863.9545281575'],['6614385.117723321'],['50.96092727272727'],['6.951738181818182']
1561946563,['773865.3713216766'],['6614384.957050943'],['50.96092636363636'],['6.951750909090909']
1561946564,['773866.7881151958'],['6614384.796378565'],['50.96092545454545'],['6.951763636363636']
1561946565,['773868.204908715'],['6614384.635706187'],['50.960924545454546'],['6.951776363636363']
1561946566,['773869.6217022341'],['6614384.475033809'],['50.96092363636364'],['6.951789090909091']
1561946567,['773871.0384957533'],['6614384.314361432'],['50.96092272727273'],['6.951801818181818']
1561946568,['773872.4552892726'],['6614384.153689055'],['50.960921818181816'],['6.951814545454545']
1561946569,['773873.8720827918'],['6614383.993016677'],['50.96092090909091'],['6.9518272727272725']
1561946570,['773875.2888763109'],['6614383.832344299'],['50.96092'],['6.95184']
1561946571,['773884.7004332598'],['6614385.439069633'],['50.96092909090909'],['6.9519245454545455']
1561946572,['773894.1119902087'],['6614387.045794968'],['50.960938181818186'],['6.95200909090909']
1561946573,['773903.5235471576'],['6614388.652520302'],['50.960947272727275'],['6.952093636363636']
1561946574,['773912.9351041066'],['6614390.259245636'],['50.96095636363636'],['6.952178181818182']
1561946575,['773922.3466610555'],['6614391.86597097'],['50.96096545454545'],['6.9522627272727275']
1561946576,['773931.7582180043'],['6614393.472696305'],['50.96097454545455'],['6.952347272727272']
1561946577,['773941.1697749532'],['6614395.079421639'],['50.960983636363636'],['6.952431818181818']
1561946578,['773950.5813319021'],['6614396.686146974'],['50.960992727272725'],['6.952516363636364']
1561946579,['773959.992888851'],['6614398.292872308'],['50.96100181818181'],['6.9526009090909096']
1561946580,['773969.4044457999'],['6614399.899597642'],['50.96101090909091'],['6.952685454545454']
1561946581,['773978.8160027488'],['6614401.506322976'],['50.96102'],['6.95277']
1561946582,['773986.3553682616'],['6614402.631033615'],['50.961026363636364'],['6.952837727272727']
1561946583,['773993.8947337744'],['6614403.755744254'],['50.96103272727272'],['6.952905454545455']
1561946584,['774001.4340992873'],['6614404.880454892'],['50.96103909090909'],['6.952973181818182']
1561946585,['774008.9734648'],['6614406.005165531'],['50.961045454545456'],['6.953040909090909']
1561946586,['774016.5128303128'],['6614407.12987617'],['50.961051818181815'],['6.953108636363637']
1561946587,['774024.0521958256'],['6614408.254586809'],['50.96105818181818'],['6.953176363636364']
1561946588,['774031.5915613385'],['6614409.379297448'],['50.96106454545454'],['6.953244090909091']
1561946589,['774039.1309268513'],['6614410.504008087'],['50.96107090909091'],['6.9533118181818185']
1561946590,['774046.6702923641'],['6614411.628718725'],['50.96107727272727'],['6.9533795454545455']
1561946591,['774054.2096578769'],['6614412.753429364'],['50.96108363636363'],['6.9534472727272725']
1561946592,['774061.7490233898'],['6614413.878140003'],['50.96109'],['6.9535149999999994']
1561946593,['774069.2883889026'],['6614415.002850642'],['50.961096363636365'],['6.953582727272727']
1561946594,['774076.8277544153'],['6614416.127561281'],['50.961102727272724'],['6.953650454545454']
1561946595,['774084.3671199281'],['6614417.2522719195'],['50.96110909090909'],['6.953718181818181']
1561946596,['774091.9064854409'],['6614418.3769825585'],['50.96111545454546'],['6.953785909090909']
1561946597,['774099.4458509538'],['6614419.5016931975'],['50.961121818181816'],['6.953853636363636']
1561946598,['774106.9852164666'],['6614420.6264038365'],['50.96112818181818'],['6.953921363636363']
1561946599,['774114.5245819794'],['6614421.751114476'],['50.96113454545454'],['6.953989090909091']
1561946600,['774122.0639474922'],['6614422.875825115'],['50.96114090909091'],['6.954056818181818']
1561946601,['774129.6033130051'],['6614424.000535753'],['50.961147272727274'],['6.954124545454545']
1561946602,['774137.1426785178'],['6614425.125246392'],['50.96115363636363'],['6.954192272727273']
1561946603,['774144.6820440306'],['6614426.249957031'],['50.96116'],['6.95426']
1561946604,['774145.845838707'],['6614426.089283875'],['50.96115909090909'],['6.954270454545454']
1561946605,['774147.0096333836'],['6614425.928610719'],['50.961158181818185'],['6.954280909090909']
1561946606,['774148.17342806'],['6614425.767937563'],['50.96115727272727'],['6.954291363636363']
1561946607,['774149.3372227366'],['6614425.607264408'],['50.96115636363636'],['6.9543018181818175']
1561946608,['774150.501017413'],['6614425.4465912515'],['50.961155454545455'],['6.954312272727273']
1561946609,['774151.6648120895'],['6614425.285918096'],['50.96115454545455'],['6.954322727272727']
1561946610,['774152.828606766'],['6614425.125244941'],['50.96115363636363'],['6.954333181818182']
1561946611,['774153.9924014425'],['6614424.964571784'],['50.961152727272726'],['6.954343636363636']
1561946612,['774155.1561961189'],['6614424.803898629'],['50.96115181818182'],['6.95435409090909']
1561946613,['774156.3199907955'],['6614424.643225473'],['50.96115090909091'],['6.9543645454545455']
1561946614,['774157.4837854719'],['6614424.482552318'],['50.96115'],['6.954375']
1561946615,['774158.6475801483'],['6614424.3218791615'],['50.96114909090909'],['6.954385454545454']
1561946616,['774159.8113748248'],['6614424.161206006'],['50.96114818181818'],['6.954395909090909']
1561946617,['774160.9751695013'],['6614424.000532851'],['50.961147272727274'],['6.954406363636363']
1561946618,['774162.1389641778'],['6614423.839859694'],['50.96114636363637'],['6.954416818181818']
1561946619,['774163.3027588542'],['6614423.679186539'],['50.96114545454545'],['6.954427272727273']
1561946620,['774164.4665535308'],['6614423.518513383'],['50.961144545454545'],['6.954437727272727']
1561946621,['774165.6303482072'],['6614423.357840227'],['50.96114363636364'],['6.954448181818182']
1561946622,['774166.7941428837'],['6614423.1971670715'],['50.96114272727273'],['6.954458636363636']
1561946623,['774167.9579375602'],['6614423.036493916'],['50.961141818181815'],['6.9544690909090905']
1561946624,['774169.1217322367'],['6614422.87582076'],['50.96114090909091'],['6.954479545454546']
1561946625,['774170.2855269131'],['6614422.715147604'],['50.96114'],['6.95449']
1561946626,['774189.209840348'],['6614423.357840366'],['50.96114363636364'],['6.95466']
1561946627,['774208.1341537829'],['6614424.000533128'],['50.961147272727274'],['6.95483']
1561946628,['774227.0584672177'],['6614424.64322589'],['50.96115090909091'],['6.955']
1561946629,['774245.9827806526'],['6614425.285918651'],['50.96115454545455'],['6.95517']
1561946630,['774264.9070940875'],['6614425.928611413'],['50.961158181818185'],['6.95534']
1561946631,['774283.8314075222'],['6614426.571304175'],['50.961161818181814'],['6.95551']
1561946632,['774302.7557209571'],['6614427.213996937'],['50.96116545454545'],['6.95568']
1561946633,['774321.6800343919'],['6614427.856689698'],['50.96116909090909'],['6.95585']
1561946634,['774340.6043478268'],['6614428.49938246'],['50.961172727272725'],['6.95602']
1561946635,['774359.5286612617'],['6614429.142075222'],['50.96117636363636'],['6.95619']
1561946636,['774378.4529746965'],['6614429.7847679835'],['50.96118'],['6.95636']
1561946637,['774396.8206906774'],['6614429.061739015'],['50.961175909090905'],['6.956525']
1561946638,['774415.1884066584'],['6614428.338710047'],['50.96117181818182'],['6.95669']
1561946639,['774433.5561226392'],['6614427.615681079'],['50.96116772727272'],['6.956855']
1561946640,['774451.9238386201'],['6614426.89265211'],['50.961163636363636'],['6.95702']
1561946641,['774470.291554601'],['6614426.169623142'],['50.96115954545454'],['6.957185']
1561946642,['774488.6592705819'],['6614425.446594174'],['50.961155454545455'],['6.95735']
1561946643,['774507.0269865628'],['6614424.723565206'],['50.96115136363636'],['6.957515']
1561946644,['774525.3947025437'],['6614424.000536238'],['50.961147272727274'],['6.95768']
1561946645,['774543.7624185246'],['6614423.27750727'],['50.96114318181818'],['6.957845']
1561946646,['774562.1301345055'],['6614422.554478302'],['50.96113909090909'],['6.95801']
1561946647,['774580.4978504863'],['6614421.831449334'],['50.961135'],['6.958175']
1561946648,['774598.8655664673'],['6614421.108420365'],['50.961130909090905'],['6.958340000000001']
1561946649,['774617.2332824481'],['6614420.3853913965'],['50.96112681818182'],['6.958505000000001']
1561946650,['774635.600998429'],['6614419.662362428'],['50.96112272727272'],['6.958670000000001']
1561946651,['774653.96871441'],['6614418.93933346'],['50.961118636363636'],['6.9588350000000005']
1561946652,['774672.3364303908'],['6614418.216304492'],['50.96111454545454'],['6.9590000000000005']
1561946653,['774690.7041463717'],['6614417.493275524'],['50.961110454545455'],['6.9591650000000005']
1561946654,['774709.0718623527'],['6614416.770246556'],['50.96110636363636'],['6.9593300000000005']
1561946655,['774727.4395783335'],['6614416.047217587'],['50.961102272727274'],['6.959495']
1561946656,['774745.8072943144'],['6614415.324188619'],['50.96109818181818'],['6.95966']
1561946657,['774764.1750102954'],['6614414.601159651'],['50.96109409090909'],['6.959825']
1561946658,['774782.5427262762'],['6614413.878130683'],['50.96109'],['6.95999']
1561946659,['774785.0727147033'],['6614413.556784855'],['50.961088181818184'],['6.960012727272727']
1561946660,['774787.6027031305'],['6614413.235439028'],['50.96108636363636'],['6.960035454545455']
1561946661,['774790.1326915575'],['6614412.9140932'],['50.96108454545455'],['6.960058181818182']
1561946662,['774792.6626799846'],['6614412.592747373'],['50.961082727272725'],['6.960080909090909']
1561946663,['774795.1926684118'],['6614412.271401545'],['50.96108090909091'],['6.960103636363637']
1561946664,['774797.7226568388'],['6614411.950055717'],['50.96107909090909'],['6.9601263636363635']
1561946665,['774800.252645266'],['6614411.628709889'],['50.96107727272727'],['6.960149090909091']
1561946666,['774802.7826336931'],['6614411.3073640615'],['50.96107545454545'],['6.960171818181818']
1561946667,['774805.3126221201'],['6614410.986018234'],['50.961073636363636'],['6.960194545454545']
1561946668,['774807.8426105473'],['6614410.664672406'],['50.961071818181814'],['6.960217272727273']
1561946669,['774810.3725989744'],['6614410.343326579'],['50.96107'],['6.96024']
1561946670,['774820.7961512941'],['6614410.986018373'],['50.961073636363636'],['6.960333636363636']
1561946671,['774831.2197036139'],['6614411.628710167'],['50.96107727272727'],['6.960427272727273']
1561946672,['774841.6432559335'],['6614412.27140196'],['50.96108090909091'],['6.960520909090909']
1561946673,['774852.0668082533'],['6614412.914093754'],['50.96108454545455'],['6.960614545454545']
1561946674,['774862.490360573'],['6614413.556785548'],['50.961088181818184'],['6.960708181818181']
1561946675,['774872.9139128928'],['6614414.199477341'],['50.96109181818181'],['6.960801818181818']
1561946676,['774883.3374652126'],['6614414.842169135'],['50.96109545454545'],['6.960895454545454']
1561946677,['774893.7610175323'],['6614415.484860929'],['50.96109909090909'],['6.960989090909091']
1561946678,['774904.184569852'],['6614416.127552723'],['50.961102727272724'],['6.961082727272727']
1561946679,['774914.6081221717'],['6614416.770244516'],['50.96110636363636'],['6.961176363636364']
1561946680,['774925.0316744915'],['6614417.41293631'],['50.96111'],['6.96127']
1561946681,['774929.3832545861'],['6614417.33259981'],['50.96110954545454'],['6.961309090909091']
1561946682,['774933.7348346808'],['6614417.25226331'],['50.96110909090909'],['6.961348181818182']
1561946683,['774938.0864147755'],['6614417.17192681'],['50.96110863636363'],['6.961387272727273']
1561946684,['774942.43799487'],['6614417.0915903095'],['50.96110818181818'],['6.961426363636363']
1561946685,['774946.7895749647'],['6614417.01125381'],['50.961107727272726'],['6.961465454545454']
1561946686,['774951.1411550593'],['6614416.93091731'],['50.96110727272727'],['6.961504545454545']
1561946687,['774955.492735154'],['6614416.85058081'],['50.96110681818182'],['6.961543636363636']
1561946688,['774959.8443152487'],['6614416.77024431'],['50.96110636363636'],['6.961582727272727']
1561946689,['774964.1958953433'],['6614416.68990781'],['50.96110590909091'],['6.961621818181818']
1561946690,['774968.547475438'],['6614416.60957131'],['50.961105454545454'],['6.961660909090909']
1561946691,['774972.8990555326'],['6614416.52923481'],['50.961105'],['6.9617']
1561946692,['774977.2506356272'],['6614416.448898309'],['50.961104545454546'],['6.961739090909091']
1561946693,['774981.6022157219'],['6614416.368561809'],['50.96110409090909'],['6.961778181818182']
1561946694,['774985.9537958165'],['6614416.288225309'],['50.96110363636364'],['6.961817272727273']
1561946695,['774990.3053759112'],['6614416.207888809'],['50.96110318181818'],['6.961856363636364']
1561946696,['774994.6569560058'],['6614416.127552309'],['50.96110272727273'],['6.961895454545455']
1561946697,['774999.0085361005'],['6614416.047215809'],['50.961102272727274'],['6.961934545454546']
1561946698,['775003.3601161952'],['6614415.966879309'],['50.96110181818182'],['6.961973636363637']
1561946699,['775007.7116962897'],['6614415.886542808'],['50.96110136363637'],['6.962012727272727']
1561946700,['775012.0632763844'],['6614415.806206308'],['50.96110090909091'],['6.962051818181818']
1561946701,['775016.414856479'],['6614415.725869808'],['50.96110045454546'],['6.962090909090909']
1561946702,['775020.7664365737'],['6614415.645533308'],['50.9611'],['6.96213']
1561946703,['775025.7505137752'],['6614417.171932889'],['50.96110863636364'],['6.9621747727272725']
1561946704,['775030.7345909765'],['6614418.69833247'],['50.96111727272727'],['6.962219545454546']
1561946705,['775035.718668178'],['6614420.22473205'],['50.96112590909091'],['6.962264318181818']
1561946706,['775040.7027453794'],['6614421.7511316305'],['50.96113454545455'],['6.962309090909091']
1561946707,['775045.6868225809'],['6614423.277531211'],['50.96114318181819'],['6.9623538636363635']
1561946708,['775050.6708997823'],['6614424.803930792'],['50.96115181818182'],['6.962398636363637']
1561946709,['775055.6549769837'],['6614426.330330373'],['50.96116045454546'],['6.962443409090909']
1561946710,['775060.6390541851'],['6614427.856729954'],['50.961169090909095'],['6.962488181818182']
1561946711,['775065.6231313866'],['6614429.383129533'],['50.96117772727273'],['6.962532954545455']
1561946712,['775070.6072085879'],['6614430.909529114'],['50.961186363636365'],['6.962577727272728']
1561946713,['775075.5912857894'],['6614432.435928695'],['50.961195000000004'],['6.9626225']
1561946714,['775080.5753629908'],['6614433.962328276'],['50.961203636363635'],['6.9626672727272725']
1561946715,['775085.5594401923'],['6614435.488727856'],['50.96121227272727'],['6.962712045454546']
1561946716,['775090.5435173938'],['6614437.015127436'],['50.96122090909091'],['6.962756818181818']
1561946717,['775095.5275945951'],['6614438.541527017'],['50.96122954545455'],['6.962801590909091']
1561946718,['775100.5116717966'],['6614440.067926598'],['50.96123818181818'],['6.9628463636363636']
1561946719,['775105.495748998'],['6614441.594326179'],['50.96124681818182'],['6.962891136363637']
1561946720,['775110.4798261994'],['6614443.120725759'],['50.96125545454546'],['6.962935909090909']
1561946721,['775115.4639034008'],['6614444.64712534'],['50.96126409090909'],['6.962980681818182']
1561946722,['775120.4479806023'],['6614446.17352492'],['50.96127272727273'],['6.963025454545455']
1561946723,['775125.4320578037'],['6614447.699924501'],['50.96128136363637'],['6.963070227272728']
1561946724,['775130.4161350052'],['6614449.226324081'],['50.961290000000005'],['6.963115']
1561946725,['775135.4002122065'],['6614450.752723662'],['50.96129863636364'],['6.9631597727272725']
1561946726,['775140.384289408'],['6614452.279123243'],['50.961307272727275'],['6.963204545454546']
1561946727,['775145.3683666094'],['6614453.805522823'],['50.961315909090914'],['6.963249318181818']
1561946728,['775150.3524438108'],['6614455.331922404'],['50.961324545454545'],['6.963294090909091']
1561946729,['775155.3365210122'],['6614456.858321984'],['50.96133318181818'],['6.963338863636364']
1561946730,['775160.3205982137'],['6614458.384721565'],['50.96134181818182'],['6.963383636363637']
1561946731,['775165.3046754152'],['6614459.911121146'],['50.96135045454545'],['6.963428409090909']
1561946732,['775170.2887526166'],['6614461.437520727'],['50.96135909090909'],['6.963473181818182']
1561946733,['775175.272829818'],['6614462.963920306'],['50.96136772727273'],['6.963517954545455']
1561946734,['775180.2569070194'],['6614464.490319887'],['50.96137636363637'],['6.963562727272728']
1561946735,['775185.2409842209'],['6614466.016719468'],['50.961385'],['6.9636075']
1561946736,['775190.2250614222'],['6614467.543119049'],['50.96139363636364'],['6.9636522727272725']
1561946737,['775195.2091386237'],['6614469.069518629'],['50.96140227272728'],['6.963697045454546']
1561946738,['775200.1932158251'],['6614470.595918209'],['50.96141090909091'],['6.963741818181818']
1561946739,['775205.1772930266'],['6614472.12231779'],['50.96141954545455'],['6.963786590909091']
1561946740,['775210.161370228'],['6614473.648717371'],['50.961428181818185'],['6.963831363636364']
1561946741,['775215.1454474294'],['6614475.175116952'],['50.96143681818182'],['6.963876136363637']
1561946742,['775220.1295246308'],['6614476.701516532'],['50.961445454545455'],['6.963920909090909']
1561946743,['775225.1136018323'],['6614478.227916113'],['50.96145409090909'],['6.963965681818182']
1561946744,['775230.0976790336'],['6614479.754315693'],['50.96146272727273'],['6.964010454545455']
1561946745,['775235.0817562351'],['6614481.280715274'],['50.96147136363636'],['6.964055227272728']
1561946746,['775240.0658334366'],['6614482.807114854'],['50.96148'],['6.9641']
1561946747,['775241.4826269557'],['6614486.82398309'],['50.96150272727273'],['6.9641127272727275']
1561946748,['775242.8994204749'],['6614490.840851325'],['50.96152545454546'],['6.964125454545455']
1561946749,['775244.3162139942'],['6614494.85771956'],['50.96154818181818'],['6.964138181818182']
1561946750,['775245.7330075133'],['6614498.874587796'],['50.96157090909091'],['6.964150909090909']
1561946751,['775247.1498010325'],['6614502.89145603'],['50.96159363636364'],['6.9641636363636366']
1561946752,['775248.5665945517'],['6614506.908324266'],['50.96161636363637'],['6.964176363636364']
1561946753,['775249.9833880708'],['6614510.9251925'],['50.961639090909095'],['6.964189090909091']
1561946754,['775251.40018159'],['6614514.942060736'],['50.961661818181824'],['6.964201818181818']
1561946755,['775252.8169751093'],['6614518.958928972'],['50.961684545454546'],['6.964214545454546']
1561946756,['775254.2337686284'],['6614522.975797206'],['50.961707272727274'],['6.964227272727273']
1561946757,['775255.6505621476'],['6614526.992665442'],['50.96173'],['6.96424']
1561946758,['775259.1925459455'],['6614535.187143664'],['50.96177636363637'],['6.964271818181818']
1561946759,['775262.7345297436'],['6614543.381621886'],['50.96182272727273'],['6.964303636363637']
"1561946760,""['775266.2765135415', '774331.6987885634']"",""['6614551.576100107', '6609397.754792604']"",""['50.96186909090909', '50.9327']"",""['6.964335454545455', '6.95594']"""
"1561946761,""['775269.8184973395', '774327.2460089317']"",""['6614559.770578329', '6609395.811839214']"",""['50.961915454545455', '50.932688999999996']"",""['6.964367272727273', '6.9559']"""
"1561946762,""['775273.3604811374', '774322.7932293']"",""['6614567.965056552', '6609393.868885823']"",""['50.96196181818182', '50.932677999999996']"",""['6.964399090909091', '6.95586']"""
"1561946763,""['775276.9024649354', '774318.3404496681']"",""['6614576.159534774', '6609391.925932432']"",""['50.962008181818184', '50.932666999999995']"",""['6.964430909090909', '6.95582']"""
"1561946764,""['775280.4444487334', '774313.8876700364']"",""['6614584.354012996', '6609389.9829790415']"",""['50.96205454545455', '50.932655999999994']"",""['6.9644627272727275', '6.95578']"""
"1561946765,""['775283.9864325314', '774309.4348904047']"",""['6614592.548491218', '6609388.040025651']"",""['50.962100909090914', '50.932644999999994']"",""['6.964494545454546', '6.9557400000000005']"""
"1561946766,""['775287.5284163293', '774304.982110773']"",""['6614600.742969439', '6609386.09707226']"",""['50.96214727272727', '50.932634']"",""['6.964526363636364', '6.9557']"""
